review,sentiment
i had borrowed the three sarah movies from a friend and had watched them while sick in bed during one weekend i thoroughly enjoyed every one of them i enjoyed how the last movie gave a glimpse of what caleb and his sister were like when they grew up in addition i liked the carry-through of the `` billy-boy '' song that first was heard during the credits of the first movie the title `` sarah plain and tall '' however the one thing in winter 's end that i did n't like was the youngest daughter she was a very cute little girl but she just had too much spirit and looked like a brat compared to the other kids even compared to talkative but still good-natured caleb when he was younger,1
it is to typical of people complaining about something when they no nothing about it ... so this is about a gay man falling for a straight women first of all ... this is a true story so you cant say its not believable second its written by a gay man so the whole thing about this being against the gays are just plain stupid personally i think this was the best love story i 've ever seen and i am very pro gay i think this shows that real love is about personality not just looks and sex and it has nothing against anyone who is gay straight or bi unlike so many other shows maybe we in europe take to it more cus most tv here are a bit deeper and make you think more then american tv ... plus we do n't fear when it comes to showing certain things if you want something funny with one of englands best lesley sharp and you want to see a decent believable love story without too much sap this is for you i know i love it,1
crackerjack starring mick malloy judith lucy both part of the cast in the early 90 's saturday night comedy show `` the late show '' bill hunter an australian movie icon and john clarke who we still see regularly on australian tv along side brian dawe crackerjack losely is about a guy in his early 30 's jack simpson played by mick malloy who pays his yearly memebership at the local bowls club in order to get a few car park spaces for which he uses himself and rents out to others as cheap inner city parking the club falls on hard times and pulls all the resources and memebers together it can jack gets a phone call telling him to turn up to next saturday 's bowls match or lose his membership and conseqently his car park space i wont spoil the rest but the film is funny light hearted and contains everything a good aussie film should if your not australian then some of the jokes and humour will no doubt baffle you if you are an aussie do yourself a favor and sit yourself down to crackerjack .. its now available on dvd i already have my copy 10/10 .. awesome flick,1
the emergence of quentin tarantino and his dubious influence on the likes of guy ritchie may have triggered the wave of appalling british gangster flicks we 've been bequeathed over the past few years but one of our most famous acting exports only serves to perpetuate the cycle by lending his considerable name to trash like this i only wish he 'd taken a moment to consider before choosing this project for the same reasons of personal gain he admits he often employs it 's not only stifling his talent but possibly the promise of future originality from british films not one of this film 's characters are likeable or even remotely realistic and the dialogue consists of the usual empty threats and colourful language caine does n't give the material any more effort than it deserves either if this was meant to be in the style of a tragic fall from grace a la `` king lear '' it would 've helped immensely had i cared about the ultimate fate of the principals instead of just wishing that they 'd get mired in the quicksand of life and dragged under almost immediately,0
really do n't care that no one on here likes this movie i do and that 's what this review is about lou diamond phillips is great in this comedic role that line about train a b and c is now to me an instant classic the cg is great yeah train looks a little fake but the aliens wow do they ever rock todd bridges where 's arnold and mr. drummond wow he 's been out of the loop guess that 's what jail does to you .. a bullet train is on it 's way to las vegas with the senator for him to deliver a big speech a meteor has just hit and now all of a sudden we got aliens running loose aboard the train and our hero cop has to save the day to make matters worse his ex-wife is on board arguing with him i just thought this movie was so wonderful a must see if you like action,1
this is an excruciatingly boring slow-moving movie we can feel some sympathy for the socially- and sexually-inexperienced and awkward tomek but the motivations of magda are pretty hard to see and the ending at least for me was inscrutable maybe it 's about how we all need love but i 'd get more out of a good busby berkeley i 'm told that comments have to be at least ten lines so i 'll add that in the background are some interesting shots of the relationship between polish citizens and government employees and institutions i wonder if it 's meant to portray this before or after the fall of the communist government finally watch for the clever way the men from the gas company investigate whether or not there is a gas leak in magda 's stove,0
audrey i know you truly cherish your husband ted 's memory but please do his legacy justice and heed his wishes dr. seuss refused to license his characters during his lifetime for a very good reason we beg of you to please stop cashing in on his stories images fantasies and characters they are getting disemboweled by the powers that be of hollywood and broadway the children of tomorrow will be stuck with these histrionic and grotesque interpretations that will forever pollute the loving warmth and innocence of his books it is indeed your property to do with as you wish i just wish you would listen to the advice of others for a little while save what is left of dr. seuss thank you,0
what a truly moronic movie all i can say is the writer must be very fond of magic mushrooms and lsd because this must be the result of one of his 'trips you follow the whole movie thinking alright this is very weird but hey i 'm sure at the end there will be a perfectly good explanation for all of this ... only to be disappointed to find erm no there 's no explanation at all and the twist at the end makes it even more confusing at the end of the movie you 'll probably have the same facial expression as if you were standing in a que paying for you groceries and the merchant told you that 'll be 11.95 please and proceeded to elbow you in the balls for no apparent reason there are so many factors in this movie that go unexplained and i think it leaves it to the imagination of the viewer in an entirely bizarre way do n't get me wrong i like weird movies 'the cell could easily be described as weird and twisted but in my eyes it 's a brilliant movie despite casting j-lo who i dislike to the maximum even that did n't manage to sway my opinion this is n't one of those movies and i think you should take in to consideration the characters of those who praise this movie i can tell you they are probably the sort of people that would go to an art exhibition see a splat of pigeon excrement on a white board and say `` oooooh what a masterpiece the artist has truly found a unique way to portray eternity '' when in actual fact all it is is bird excrement on a board keep that last bit in mind when watching this movie thanks for reading,0
this film has got so much in it prehistoric society adventure romance true brotherhood violence sex religion all depicted abundantly .. without a single word uttered and how come it sucks so bad this film will make you rethink the origin of humanity if this were the product of anthropology you would rather defy darwinian theory and hegelian synthesis all together you can not bear to watch this even with your brain shut down and now you are thinking `` i 've got to see this '' i warned you i take no responsibility whatsoever should you regret spending over an hour staring at this piece of art well i did warn you this should be forgotten and buried for ever,0
shemp finds out that he stands to inherit a million dollars if he is married within 24 hours considering how hideous he looks and his personality it is n't surprising that he ca n't get a taker -- that is until an article appears in the paper explaining his predicament -- at which point five crazed women appear from no where to claim their new hubby plus the money of course while i do n't hate the three stooges and like to watch their shorts on occasion they never even on their best day came close to the brilliant comedy of buster keaton that 's why i disliked this film as it was a ripoff of the plot from keaton 's masterpiece seven chances with the stooges it was n't uncommon for columbia pictures to steal old comedy plots or just recycle older stooge shorts so from the outset this film is a pale imitation of an original it 's also obvious that this film lacks the charm and subtlety of the original and the gags generally seem very forced paricularly the phone booth scene the cousin basil bit however was pretty cute and funny -- though far from subtle however the worst aspect of the film was the not particularly funny conclusion in the keaton version hundreds of women appeared to marry him and the action became very fast and furious -- here it all stayed in one small room and lacked comedic punch -- ending in a fizzle overall a dull retread also before marking this review `` not helpful '' be sure to first see seven chances to see what i am talking about -- then you decide,0
"is there any reason to revive characters 10 years after the fact when the only reason they worked the first time was due to the actors playing them who can replace jim carrey or cameron diaz -- or better yet who can replace them at cut-rate prices since most studios know that sequels do n't bring in the same amount of revenue as the originals so they cut corners from the get-go where are the good movies going to play if powerful hollywood studios can clog up 3,000 theaters opening weekend with whatever turds they feel like the general public can be suckered into enough 's enough people this sequel-itis has got to stop and the hollywood people need to start getting their act together or start distributing the much-better foreign product that 's floating in limbo wake up hollywood cause the people have woken up and they are n't buying it just cause it 's new and shiny give us the good stuff and send the rest to the dvd shelves cause we are taking back the theaters once and for all",0
this film did not excite me while on vacation in turkey i noticed that it was playing at the local cinema and decided to take the chance to go see it the action sequences in the film are well choreographed however the story drags during the middle of the film one thing that i did not quite follow is how borte was able to get the money to bribe the guards the other thing that i did not particularly like was the missing segment of khan 's life it did not go into detail as to how the bad guys were able to find him and re-imprison him after he had gone missing for so long overall i rate this movie a 4 because i enjoyed the action sequences but they were too few to justify a higher rating as the dialog left me less than impressed ...,0
i shall begin with a disclaimer this movie is not recommended for anyone who lack interest or have never played ff7 the game before watching the movie relies on the audience 's knowledge of each character in the game to convey story plot elements and it does so very subtly do your homework before watching this wonderful piece of cg film and i promise it 'll be that much better with that in mind this film has some of the most spectacular cg sequences i have ever witnessed the whole experience felt like an extra long fmv sequence from the game on steroids yeah the attention to detail in each scene especially in the heavy action oriented ones is so impeccable it left me with a sense of awe i believe the soundtrack is simplified so as to help the audience focus on the animation quality more than the music again for those who are familiar with the ff7 story and background the music should not surprise anyone although the timing and placement of each soundtrack from the original accompany each scene and mood to the point where the music simply enhances the animation once again i myself having only played through ff7 once thoroughly enjoyed this piece of art from square enix and that is the feel in most scenes choreographed and organized like a dance in short if you enjoyed the music or the game final fantasy 7 this film will blow you out of the water if you 're in the unfortunate majority who has not experienced the goodness known as ff7 on playstation or pc doing so before watching the movie will allow for an exponentially greater experience finally i just want to make a note of the quality in animating this film characters move with fluidity each scene background comes to life and tells its own story for those who criticize the thinness and dependency of the story plot i urge you to reexamine the animation facial reactions subtle clues that bring about another level of entertainment above the typical narration method of story plot delivery square enix and the great tetsuya nomura has set a new bar for quality animation and storytelling advent children has ushered in a new era for cg animations allowing the subtleties that lie in each character to speak volumes in and of themselves thanks square enix the wait was well worth it,1
let me clarify that this is not a `` good movie '' but i am so glad it is out there i am so glad i saw it and for the role that it plays in my dvd collection it is sublime it is the ultimate pg-13 romp it is college as we imagine it will be when we 're freshmen in high school it requires so much suspension of disbelief that it may as well be taking place on mars it is so wholesome that even when it tries to be dirty it would n't make your grandmother uncomfortable watching it requires so little sophistication in fact thinking too hard about what 's happening will get in the way of your appreciation of this work it makes me feel like i 'm 12 again and that kind of experience is worth more than 9.99,1
this might quite possibly be the worst movie i have ever seen i knew it was a b-movie before watching it it was actually the reason for watching it but i 'd never thought it could be this bad the title promises dracula in space and does deliver however the story makes no real use of the fact that casper van dien 's character is a descendant of van helsing and watch out for the ending of the movie it comes at you fast i 've never seen an ending scream out `` and now we 're over budget '' in a clearer fashion their resolution of the movie was rather comic though the story had so obviously painted itself into a corner if you feel you have to see it watch it with a friend who shares your love of b-movies if i had n't i would n't have made it to the end,0
nikki finn is the kind of girl i would marry never boring always thinking positively good with animals okay as one reviewer wrote a bit too much peroxide lipstick and eyebrows only madonna could get away with that but that 's why i love nikki finn she 's not your ordinary girl she makes things happen always exciting to be around and always honest sure she steals but she does n't rob or murder unless you 're out to do her in she knows which rules can be broken and which ones should be obeyed she knows what to take and what ca n't be stolen if you need a favor from her she 's in 100 bottom line she knows how to enjoy life nikki is always loving which is why she has a way with wild animals and completely dedicated to those she loves and who love her who 's that girl she 's the girl for me,1
`` one crazy summer '' is the funniest craziest not necessarily the best movie i have ever seen just when one crazy scene is done another emerges it never lets you rest just one thing after another the soundtrack is great the songs are the right ones for the scenes it is also a clean movie little that is dirty in it of course it has the story of the guys you would n't trust with your lunch money taking up a challenge and winning over people with more resources who 'd want to see it if they failed there is a serious side in that parents and children do not live up to each others dreams one should always have an open mind and weigh all the options this applies both to parents and children in `` one crazy summer '' the parents are wrong this is not always the case,1
i am surprised by the relatively low rating this film has it is a screwball comedy romance film rolled together by someone besides billy wilder but it does a really good job even won an oscar it is ingrid bergman 's first film in the us since the 1950 's even though she is no longer the young bombshell she was in her early films she brings off a difficult role quite handsomely this film proves she had multiple talents beyond her good looks goldie hawn who won an oscar in this her first film as supporting actress is very good as the modern sophisticated yet quirky latest mistress to dentist playboy love them leave them walter mathaw goldie is delightful to all the senses in this role which with a great cast set her up as a slam dunk for this early career award this film is not real deep but is a gem that has stood the test of time very well not sure why it 's average is so low as i give it a solid 8,1
i thought this movie was too absurd for me to finish watching it the premise was too silly and predictable i did n't make it far into the movie let me see she is obviously older than the cabbie unless she is a lot younger than she looks he is black and she is white she makes more money than him he is only a cabbie that 's 3 of society 's most statistically failed unions all rolled up in one and we are supposed to pretend they have a chance in hell she would be better off marrying the guy she does n't love i only watched it partially because i love mjw as an actor his acting was superb hers meh it was ok but the premise is too silly did n't see the end could n't make it there so i do n't know if it ended differently from the way i predicted the ending would be i ca n't imagine any black woman liking this movie there is something sickening about watching a black man catering to a white woman like that and an old one at that please not in the real world,0
since cats have nine lives i 'll give you nine reasons to see this movie the kittens berlioz and toulouse playing the piano together so unbelievably cute the car-chasing dogs napoleon and lafayette toulouse jumping like electrified every time he wants to be like a tough alley cat marie sighing romantically while alley cat o'malley seduces her mom scat cat and his jazz band singing `` ev'rybody wants to be a cat '' stupid but proper and nice english geese amelia and abigail who make the cats walk like geese o'malley obtaining the `` magic carpet '' which puts the cheshire cat to shame roquefort the brave mouse 's journey to ask help from alley cats edgar the butler chase scenes and transition from a nice guy to an insane cat hater due to cat riddance plan gone bad,1
i really thought this would be a good movie boy ... was i mistaken for a quick summery b grade acting c grade special effects d grade for the overall movie do n't get me wrong the story was pretty good and not kiddish so an adult too ride along with it the `` hero '' is good looking so most women will like it not a total chick flick as it contains some fight scenes and some blood but the way it is shot ... horrible the special effects- would be better suited for tv- on a kids show and lastly ... send some of the actors back to acting school if they ever attended a class there trust me there are much better ways to waste 2 hours you have been warned,0
nice movie and nicholle tom does a fantastic job playing the `` guy in the girl 's body '' she really does it well a sort of teen version of many other movies but well done well casted from `` matt '' to `` matt2 '',0
this is the second hitchcock film to appear on the list and the second hitchcock film i 've seen in full the first was rope which i really enjoyed with saboteur hitchcock was more room to roam free whereas rope took place all in one room i did n't enjoy this one as much as rope but that 's not saying this is a bad film it just seems like an average flick that could have been something more it seems like a film hitchcock would make as a break in between his more serious ones as a thriller i feel it fails to really get my on the edge of my seat or engaged with the lead character who is running around the states the climax of the film feels like a miss opportunity to really amp up the tension the sound design is almost non existent you can hear their dialogue and a bit of the environment around them but the important things are missing the stitches ripping apart from the sleeve the need of music to amp of the tension all missing intentional no doubt yet it lacks the emotional punch one would want from such a scene then it ends abruptly leaving you empty inside the film does n't feel like it should either they are almost globe trotting from place to place yet it feels more confined the script itself is very average and seems to go about the more obtuse ways to get the plot moving the performances are there but nothing amazing everyone plays their parts to scripted words on the page the relationship between the two leads is weak and needed more work the one stand out is otto kruger who has that rich ego evil persona down pat in the end i wanted more from this one i understand it 's one of hitchcock 's least exciting films but i did have a good time watching it i can recommend it just not enthusiastically,1
this movie moved me more than i was expecting and i was fully prepared to cry the acting mainly carried this film with superb performances from jude law nicole kidman and renee zellweger as well as the supporting cast these actors portrayed characters so intensely human that they lingered the remainder of the night with me and i had trouble shaking this war drama the costumes and cinematography were also magical but did n't get carried away with themselves they did n't take focus but added to the whole effect cold mountain could never become my favorite movie as that title will always belong to the english patient but it 's in the top five the story itself was well developed and stayed fairly unpredictable i did not find myself guessing what line came next a heart-wrenching story about humanity and war in fact this movie was so strongly real that it was barely noticeable it took place in the 19th century it seemed to apply to all times,1
a twist of fate puts a black man at the head of an old-school white-bred advertising firm and he intends to make a few changes ... one very strange piece of cinema you 'll either love it or hate it either way you 've never seen anything like it,1
if you find the depiction of violent murders and wanton police brutality expressed in a plot less film with glacial pacing entertaining then you 're bound to enjoy surveillance this film was garbage for both the mind and spirit the notion that this is a `` thriller '' is comical that would imply some kind of tension and twists you kept waiting for the story to actually finish `` starting '' it never rises above a glorification of weak-minded violent criminals and individuals from all walks of life picture all of the violence of `` no country for old men '' without any kind of chase or sympathetic characters thrill-killers run amok the acting is good mostly but the script is a pile do n't bother and tell your friends to do n't bother,0
not really all that much to this movie ... either a stunt racer or a stock car racer has a flaming car in the beginning of the movie goes to bar is approached by a biker gang who ruins his chances with a very lovely lady offer him a job he goes back to their place refuses the police ask him to accept their ya go what plays out is a very annoying little film that sees the hero not really do all that much and a biker gang that can kill and for some reason the police can not pin a crime on them i am not sure why the female biker did what she did at the end but hey it is a bad movie you always get scenes that make little sense i am still trying to figure out if i misheard it when they said the hero of the piece was a stunt car driver they may have said stock car driver because why would a stunt racer be racing and i would n't think it would be all that uncommon for a stunt car to crash the actors are bad and all the bikers are pretty annoying and the hero is kind of incompetent ... really this movie is not full of kicks but it is the pits,0
i wasn t expecting much with harlem nights but i wasn t expecting it to be as bad as it was without doubt the worst aspect is the obscene language it really is awful the amount there is in this film and before anyone accuses me of being a wimp let me point out two things ... 1 amongst my fave films i would include goodfellahs platoon raging bull while my favourite movie of all time is apocalypse now 2 my all time favourite american television show is the hbo prison drama oz so you see films and television shows with massive amounts of swearing don t normally bother me but the problem i had with harlem nights is to do with the fact it s supposed to be a comedy but it seems the production team came to the conclusion that an audience laugh everytime someone especially if that someone is black says a rude word and decided to subsitute funny situations with swearing all the way through the film hoping to get a laugh well i thought i d never start laughing and i didn t,0
i think that this is a fabulous movie ... i watched it constantly from the time i was 4 to about the time i was 8 ... however watching it resulted in many nightmares i particularly got them because of the guy that was always like `` the otherworld '' and his friends i am 12 and i still get nightmares about it to this day i ca n't fall asleep right now because i am thinking about it i love this movie but it is so scary i definitely love this movie though i have very good memories from it kate is very good at acting in this movie amazingly i never realized that it was her i also think that the graphics were very high quality contrary to what some other people think,1
although flatliners is 15 years old tonight was my first time ever seeing it i had heard about the movie flatliners but there was never a buzz about it to make me go out and rent it or make a point to see it period well i caught it on one of the premium channels and i must say that it was very good this movie was about some brilliant young medical students deciding to explore death they have figured out a way to cause a person to die briefly and bring him/her back to life besides the all-star cast this movie had some serious bite to it just the very thought of exploring death is riveting enough but i really thought the writer director did an excellent job in giving a different yet hair raising view this was no generic attempt to thrill frighten and make one 's mind race ... this was the real deal instead of making it an empty superficial star-studded thriller this movie had substance a nail-biter white knuckle edge-of-the-seat hard nose thriller i give it an 8/10,1
jane eyre with full frontal nudity i was not surprised to see that a woman had had a hand in this awful `` woman 's picture '' and i mean that in the worst possible way the trouble is it could have been so good if they had only left out the jane eyre stuff and stuck with the vastly more interesting scenes involving the spanish/portuguese jews in early 19th century london when the sound track music is better than the film you know you are in trouble when you fast forward the video because you ca n't stand the film just to make sure you do n't miss anything you are in even worse trouble this film will end up on the romance tv channel where it rightly belongs,0
flatliners left quite a noticeable impression in my head the story is quick paced and leaves you constantly absorbed and at many times quite tense its about five remarkable student doctors notably julia roberts and kevin bacon among whom one of them has devised the mechanism of remaining dead or getting flat-lined for a few seconds and then coming back to life the procedure is quite 'complex involving a plethora of medical knick-knacks injections electric blankets oxygen masks and a variety of esoteric medical terms i strongly suspect doctors coined all these words so that they never need to get layed off but funnily they follow the kiss original version for engineers keep it simple stupid extended version for doctors keep it stupid simple philosophy as well at the risk of getting euthanized by some revenge-taking doctor reader let me continue so the first guy who gets flat-lined hopes to find the answers to life which philosophy and religion can not convincingly answer he hopes to get it answered and become famous through applied science he flat-lines for around two minutes and then comes back into our world left quite shaken during death he has a vision of an incident when he was young which left the strongest impression on his life he killed another boy when he was kid by accident and he still feels responsible for it with the success of the first flat-liner the others follow suit each of them extending their flat-line time further and further to test the limits of how long one can remain dead and experience life after death meanwhile monsters from the past and future keep coming back to haunt them after their flat-line experience the first flat-liner is haunted by a young kid who tortures him when he is alone the second who camera-ed all the women he took to bed sees television sets all over playing his videos the third is haunted by a young girl who he teased in school the fourth is haunted by her suicide-dead father for whom she feels responsible all of them are driven insane by these haunting and obsessions and think that the past seems to want to take revenge on them the main focus on getting flat-lined is that your entire life passes through your eyes at the moment of 'dying whatever stage that is and you are left mostly with the strongest impressions of life in your mind since they did n't die these strong impressions have somehow resurfaced and have become the focus of their lives all of them somehow come to terms with and extinguish their past demons all of them except the first one who realizes the only way he can move on through life is getting flat-lined again during this flat-line session he sees himself getting flat-lined the first time and also sees the boy he killed trying to kill him this time round the boy kills him this time for a few minutes and in doing so has sought revenge for a few minutes in the movie one is left wondering if he gets to come back thankfully because most of us like happy endings the boy absolves him of his past and he comes back to life again,1
